dBZ / RGBA,Black and White,Original,Universal Blue,Titan,The Weather Channel (TWC),Meteored,NEXRAD Level III,Rainbow @ Selex SI,Dark Sky,Datameteo Valerio,Viper HD
22,#b6b6b6ff,#6fdfffff,#7fbfffff,#6fdfffff,#6dddffff,#0000f3ff,#0d99fcff,#6dddffff,#68d8ffff,#7fbfffff,#6dddffff
23,#b7b7b7ff,#6fdfffff,#7fbfffff,#6fdfffff,#6bdbffff,#0000f3ff,#0d99fcff,#6bdbffff,#65d5ffff,#7fbfffff,#6bdbffff
24,#b8b8b8ff,#6fdfffff,#7fbfffff,#6fdfffff,#66d6ffff,#0000f3ff,#0d99fcff,#66d6ffff,#62d2ffff,#7fbfffff,#66d6ffff
25,#b9b9b9ff,#5fcfffff,#5f9fffff,#5fcfffff,#5fcfffff,#41ff50ff,#0f75fbff,#5fcfffff,#5fcfffff,#5f9fffff,#5fcfffff
26,#bababaff,#5fcfffff,#5f9fffff,#5fcfffff,#5eceffff,#41ff50ff,#0f75fbff,#5eceffff,#5bc8ffff,#5f9fffff,#5eceffff
27,#bbbbbbff,#5fcfffff,#5f9fffff,#5fcfffff,#5dccffff,#41ff50ff,#0f75fbff,#5dccffff,#58c2ffff,#5f9fffff,#5dccffff
28,#bcbcbcff,#5fcfffff,#5f9fffff,#5fcfffff,#5bc8ffff,#41ff50ff,#0f75fbff,#5bc8ffff,#55bbffff,#5f9fffff,#5bc8ffff
29,#bdbdbdff,#5fcfffff,#5f9fffff,#5fcfffff,#56beffff,#41ff50ff,#0f75fbff,#56beffff,#52b5ffff,#5f9fffff,#56beffff
30,#bebebeff,#4fafffff,#4f8fffff,#4fafffff,#4fafffff,#32c23dff,#1053fbff,#4fafffff,#4fafffff,#4f8fffff,#4fafffff
31,#bfbfbfff,#4fafffff,#4f8fffff,#4fafffff,#4eaeffff,#32c23dff,#1053fbff,#4eaeffff,#4babffff,#4f8fffff,#4eaeffff
32,#c0c0c0ff,#4fafffff,#4f8fffff,#4fafffff,#4dadffff,#32c23dff,#1053fbff,#4dadffff,#48a8ffff,#4f8fffff,#4dadffff
33,#c1c1c1ff,#4fafffff,#4f8fffff,#4fafffff,#4babffff,#32c23dff,#1053fbff,#4babffff,#45a5ffff,#4f8fffff,#4babffff
34,#c2c2c2ff,#4fafffff,#4f8fffff,#4fafffff,#46a6ffff,#32c23dff,#1053fbff,#46a6ffff,#42a2ffff,#4f8fffff,#46a6ffff
35,#c3c3c3ff,#3f9fffff,#3f7fffff,#3f9fffff,#3f9fffff,#4b8339ff,#103ffbff,#3f9fffff,#3f9fffff,#3f7fffff,#3f9fffff
36,#c4c4c4ff,#3f9fffff,#3f7fffff,#3f9fffff,#3e9effff,#4b8339ff,#103ffbff,#3e9effff,#3b9bffff,#3f7fffff,#3e9effff
37,#c5c5c5ff,#3f9fffff,#3f7fffff,#3f9fffff,#3d9dffff,#4b8339ff,#103ffbff,#3d9dffff,#3898ffff,#3f7fffff,#3d9dffff
38,#c6c6c6ff,#3f9fffff,#3f7fffff,#3f9fffff,#3b9bffff,#4b8339ff,#103ffbff,#3b9bffff,#3595ffff,#3f7fffff,#3b9bffff
39,#c7c7c7ff,#3f9fffff,#3f7fffff,#3f9fffff,#3696ffff,#4b8339ff,#103ffbff,#3696ffff,#3292ffff,#3f7fffff,#3696ffff
40,#c8c8c8ff,#2f8fffff,#2f6fffff,#2f8fffff,#2f8fffff,#ffff50ff,#0b32cfff,#2f8fffff,#2f8fffff,#2f6fffff,#2f8fffff
41,#c9c9c9ff,#2f8fffff,#2f6fffff,#2f8fffff,#2e8effff,#ffff50ff,#0b32cfff,#2e8effff,#2b8bffff,#2f6fffff,#2e8effff
42,#cacacaff,#2f8fffff,#2f6fffff,#2f8fffff,#2d8dffff,#ffff50ff,#0b32cfff,#2d8dffff,#2888ffff,#2f6fffff,#2d8dffff
43,#cbcbcbff,#2f8fffff,#2f6fffff,#2f8fffff,#2b8bffff,#ffff50ff,#0b32cfff,#2b8bffff,#2585ffff,#2f6fffff,#2b8bffff
44,#ccccccff,#2f8fffff,#2f6fffff,#2f8fffff,#2686ffff,#ffff50ff,#0b32cfff,#2686ffff,#2282ffff,#2f6fffff,#2686ffff
45,#cdcdcdff,#1f7fffff,#1f5fffff,#1f7fffff,#1f7fffff,#fdbb3cff,#0b32cfff,#1f7fffff,#1f7fffff,#1f5fffff,#1f7fffff
46,#cececeff,#1f7fffff,#1f5fffff,#1f7fffff,#1e7effff,#fdbb3cff,#0b32cfff,#1e7effff,#1b7bffff,#1f5fffff,#1e7effff
47,#cfcfcfff,#1f7fffff,#1f5fffff,#1f7fffff,#1d7dffff,#fdbb3cff,#0b32cfff,#1d7dffff,#1878ffff,#1f5fffff,#1d7dffff
48,#d0d0d0ff,#1f7fffff,#1f5fffff,#1f7fffff,#1b7bffff,#fdbb3cff,#0b32cfff,#1b7bffff,#1575ffff,#1f5fffff,#1b7bffff
49,#d1d1d1ff,#1f7fffff,#1f5fffff,#1f7fffff,#1676ffff,#fdbb3cff,#0b32cfff,#1676ffff,#1272ffff,#1f5fffff,#1676ffff
50,#d2d2d2ff,#0f6fffff,#0f4fffff,#0f6fffff,#0f6fffff,#df5e0bff,#0726a4ff,#0f6fffff,#0f6fffff,#0f4fffff,#0f6fffff
51,#d3d3d3ff,#0f6fffff,#0f4fffff,#0f6fffff,#0e6effff,#df5e0bff,#0726a4ff,#0e6effff,#0c6bffff,#0f4fffff,#0e6effff
52,#d4d4d4ff,#0f6fffff,#0f4fffff,#0f6fffff,#0e6dffff,#df5e0bff,#0726a4ff,#0e6dffff,#0968ffff,#0f4fffff,#0e6dffff
53,#d5d5d5ff,#0f6fffff,#0f4fffff,#0f6fffff,#0b6bffff,#df5e0bff,#0726a4ff,#0b6bffff,#0565ffff,#0f4fffff,#0b6bffff
54,#d6d6d6ff,#0f6fffff,#0f4fffff,#0f6fffff,#0766ffff,#df5e0bff,#0726a4ff,#0766ffff,#0262ffff,#0f4fffff,#0766ffff
55,#d7d7d7ff,#005fffff,#003fffff,#005fffff,#005fffff,#fd8788ff,#0726a4ff,#005fffff,#005fffff,#003fffff,#005fffff
56,#d8d8d8ff,#005fffff,#003fffff,#005fffff,#005effff,#fd8788ff,#0726a4ff,#005effff,#005bffff,#003fffff,#005effff
57,#d9d9d9ff,#005fffff,#003fffff,#005fffff,#005dffff,#fd8788ff,#0726a4ff,#005dffff,#0058ffff,#003fffff,#005dffff
58,#dadadaff,#005fffff,#003fffff,#005fffff,#005bffff,#fd8788ff,#0726a4ff,#005bffff,#0055ffff,#003fffff,#005bffff
59,#dbdbdbff,#005fffff,#003fffff,#005fffff,#0056ffff,#fd8788ff,#0726a4ff,#0056ffff,#0052ffff,#003fffff,#0056ffff
60,#dcdcdcff,#004fffff,#002fffff,#004fffff,#004fffff,#e90000ff,#031875ff,#004fffff,#004fffff,#002fffff,#004fffff
61,#ddddddff,#004fffff,#002fffff,#004fffff,#004effff,#e90000ff,#031875ff,#004effff,#004bffff,#002fffff,#004effff
62,#dededeff,#004fffff,#002fffff,#004fffff,#004dffff,#e90000ff,#031875ff,#004dffff,#0048ffff,#002fffff,#004dffff
63,#dfdfdfff,#004fffff,#002fffff,#004fffff,#004bffff,#e90000ff,#031875ff,#004bffff,#0045ffff,#002fffff,#004bffff
64,#e0e0e0ff,#004fffff,#002fffff,#004fffff,#0046ffff,#e90000ff,#031875ff,#0046ffff,#0042ffff,#002fffff,#0046ffff
65,#e1e1e1ff,#003fffff,#001fffff,#003fffff,#003fffff,#a80000ff,#031875ff,#003fffff,#003fffff,#001fffff,#003fffff
66,#e2e2e2ff,#003fffff,#001fffff,#003fffff,#003effff,#a80000ff,#031875ff,#003effff,#003bffff,#001fffff,#003effff
67,#e3e3e3ff,#003fffff,#001fffff,#003fffff,#003dffff,#a80000ff,#031875ff,#003dffff,#0038ffff,#001fffff,#003dffff
68,#e4e4e4ff,#003fffff,#001fffff,#003fffff,#003bffff,#a80000ff,#031875ff,#003bffff,#0035ffff,#001fffff,#003bffff
69,#e5e5e5ff,#003fffff,#001fffff,#003fffff,#0036ffff,#a80000ff,#031875ff,#0036ffff,#0032ffff,#001fffff,#0036ffff
70,#e6e6e6ff,#002fffff,#000fffff,#002fffff,#002fffff,#ef5beeff,#010940ff,#002fffff,#002fffff,#000fffff,#002fffff
71,#e7e7e7ff,#002fffff,#000fffff,#002fffff,#002effff,#ef5beeff,#010940ff,#002effff,#002bffff,#000fffff,#002effff
72,#e8e8e8ff,#002fffff,#000fffff,#002fffff,#002dffff,#ef5beeff,#010940ff,#002dffff,#0028ffff,#000fffff,#002dffff
73,#e9e9e9ff,#002fffff,#000fffff,#002fffff,#002bffff,#ef5beeff,#010940ff,#002bffff,#0025ffff,#000fffff,#002bffff
74,#eaeaeaff,#002fffff,#000fffff,#002fffff,#0026ffff,#ef5beeff,#010940ff,#0026ffff,#0022ffff,#000fffff,#0026ffff
75,#ebebebff,#001fffff,#0000ffff,#001fffff,#001fffff,#924cbeff,#010940ff,#001fffff,#001fffff,#0000ffff,#001fffff
76,#ecececff,#001fffff,#0000ffff,#001fffff,#001effff,#924cbeff,#010940ff,#001effff,#001bffff,#0000ffff,#001effff
77,#edededff,#001fffff,#0000ffff,#001fffff,#001dffff,#924cbeff,#010940ff,#001dffff,#0018ffff,#0000ffff,#001dffff
78,#eeeeeeff,#001fffff,#0000ffff,#001fffff,#001bffff,#924cbeff,#010940ff,#001bffff,#0015ffff,#0000ffff,#001bffff
79,#efefefff,#001fffff,#0000ffff,#001fffff,#0016ffff,#924cbeff,#010940ff,#0016ffff,#0012ffff,#0000ffff,#0016ffff
80,#f0f0f0ff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff
81,#f1f1f1ff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff
82,#f2f2f2ff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff
83,#f3f3f3ff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff
84,#f4f4f4ff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff
85,#f5f5f5ff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff
86,#f6f6f6ff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff
87,#f7f7f7ff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff
88,#f8f8f8ff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff
89,#f9f9f9ff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff
90,#fafafaff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff
91,#fbfbfbff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff
92,#fcfcfcff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff
93,#fdfdfdff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff
94,#fefefeff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff
95,#ffffffff,#000fffff,#000fffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#000fffff,#000fffff
